topic,tag,importance
0,Big Band,0.000413238952051867
0,Bop,0.00336512698956115
0,Bossa Nova,0.0224385029978768
0,Bossanova,0.000934524940231579
0,Contemporary Jazz,0.00958414589709274
0,Cool Jazz,0.00245866639625606
0,Easy Listening,0.00493277579392074
0,Free Jazz,0.000410284022342565
0,Fusion,0.0256671214488012
0,Hard Bop,0.0124459325802746
0,Jazz-Funk,0.0288909742237791
0,Jazz-Rock,0.00464268593243462
0,Latin Jazz,0.00960324770041877
0,Modal,0.00123851165825335
0,Post Bop,0.00790272328698672
0,Smooth Jazz,0.0148372994595061
0,Soul-Jazz,0.0242244892910742
0,Swing,0.000508133381237786
1,Avant-garde Jazz,0.00107636289619444
1,Avantgarde,0.000734230164741071
1,Big Band,0.00348741937144653
1,Contemporary Jazz,0.0397445503445412
1,Free Improvisation,0.01991403913495
1,Free Jazz,0.0135262280953343
1,Fusion,0.00188748253169393
1,Jazz-Rock,0.000864939275214643
1,Modal,0.00107636289619444
1,Post Bop,0.00136467598793266
1,Swing,0.0061999363887168
2,Avant-garde Jazz,0.00260887865645798
2,Big Band,0.0755313263756661
2,Bop,0.0272602596579582
2,Contemporary Jazz,0.0199420069758889
2,Cool Jazz,0.00593222893792964
2,Easy Listening,0.00830182270990114
2,Free Improvisation,0.0015220378044812
2,Free Jazz,0.00188047526065752
2,Fusion,0.00320451980987824
2,Hard Bop,0.00751060265016588
2,Jazz-Funk,0.00131958555805702
2,Jazz-Rock,0.00132615064585882
2,Latin Jazz,0.00108004754285102
2,Modal,0.00405140894140442
2,Poetry,0.00194580333352857
2,Post Bop,0.00461465156472822
2,Smooth Jazz,0.00224639591436257
2,Soul-Jazz,0.000601185161668
2,Soundtrack,0.0021135379147
2,Swing,0.012931047185428
2,Vocal,0.00194580333352857
3,Afro-Cuban Jazz,0.00062855855114
3,Avant-garde Jazz,0.00115610504882258
3,Big Band,0.00745799757205361
3,Contemporary Jazz,0.0166350294564165
3,Free Improvisation,0.0461874207571489
3,Free Jazz,0.0414450449998658
3,Jazz-Rock,0.00110923592522167
3,Modal,4.68691236009155e-05
4,Afro-Cuban Jazz,0.00669091320608451
4,Avant-garde Jazz,0.000849953081348485
4,Big Band,0.184182561977133
4,Bop,0.0218136448366134
4,Bossa Nova,0.00318599183354814
4,Contemporary Jazz,0.0131396915158005
4,Cool Jazz,0.0398536596475853
4,Easy Listening,0.0039062955131963
4,Free Jazz,0.000121933061740952
4,Fusion,0.00217042699939186
4,Hard Bop,0.00429635093402533
4,Jazz-Funk,0.00388199364353437
4,Jazz-Rock,0.0033726344642181
4,Latin Jazz,0.00428019938363399
4,Modal,0.000533743955229133
4,Post Bop,0.00418428137535483
4,Smooth Jazz,0.00156055423572679
4,Soul-Jazz,0.000975464493927619
4,Space-Age,0.0080799026307114
4,Swing,0.0352303700092397
4,Vocal,0.00749547788355603
5,Abstract,7.4149145648718e-05
5,Afrobeat,0.00122982174304444
5,Avant-garde Jazz,0.00320295747887804
5,Avantgarde,0.000222447436946154
5,Big Band,0.00266277494963463
5,Bop,0.000160389506147367
5,Contemporary Jazz,0.0303258595876129
5,Easy Listening,0.000296596582594872
5,Experimental,7.4149145648718e-05
5,Free Improvisation,0.0167871096470138
5,Free Jazz,0.0368531998710809
5,Fusion,0.000320508180711071
5,Hard Bop,0.000184946592257422
5,Modern,4.31201802493243e-05
5,Modern Classical,7.4149145648718e-05
5,Noise,7.4149145648718e-05
5,Post Bop,0.00382539155467712
5,Soul-Jazz,0.00068906001717094
5,Space-Age,7.4149145648718e-05
5,Swing,7.4149145648718e-05
5,Vocal,7.4149145648718e-05
6,Afro-Cuban Jazz,0.00204357699973521
6,Big Band,0.250940719692475
6,Bop,0.0185799865129671
6,Bossa Nova,0.0007014197725944
6,Cape Jazz,0.00102402055344395
6,Contemporary Jazz,0.0129993213504069
6,Cool Jazz,0.0145438045516501
6,Dixieland,0.00517237168529433
6,Easy Listening,0.00451799078974217
6,Free Improvisation,0.00111092532968756
6,Free Jazz,0.000271961800461176
6,Fusion,0.00476488285054077
6,Gospel,0.00827460509664249
6,Hard Bop,0.00496772134833378
6,Instrumental,0.00204357699973521
6,Jazz-Funk,0.00273626885669538
6,Jazz-Rock,0.00132095913099538
6,Latin Jazz,0.00309534573748895
6,Modal,0.00102402055344395
6,Post Bop,0.0300704358971257
6,Ragtime,0.000717733153409571
6,Religious,0.00102402055344395
6,Smooth Jazz,0.000320711367108409
6,Soul-Jazz,0.00388857457915872
6,Swing,0.181097411985952
6,Vocal,0.0204926734879178
7,Afro-Cuban Jazz,9.42304063718446e-05
7,Big Band,0.062291073110207
7,Bop,0.0169233690247734
7,Bossa Nova,0.00134803411486783
7,Contemporary Jazz,0.00246255996821829
7,Cool Jazz,0.0084956154225016
7,Dixieland,0.0671283466859276
7,East Coast Blues,0.000705340949086667
7,Easy Listening,0.00691524829571396
7,Free Improvisation,0.000825733848157895
7,Fusion,0.000388616550082716
7,Gospel,0.0012367249445788
7,Hard Bop,0.0014825740492521
7,Instrumental,9.42304063718446e-05
7,Jazz-Funk,0.000506361361502985
7,Jump Blues,0.000705340949086667
7,Latin Jazz,0.000482846956454561
7,Post Bop,0.003402266950475
7,Ragtime,0.00388798266493773
7,Smooth Jazz,0.00172134180214536
7,Soul-Jazz,0.00158352373770837
7,Swing,0.14231801203613
7,Vocal,0.013388355592248
8,Avant-garde Jazz,0.000244953588866671
8,Avantgarde,8.5687639786087e-05
8,Big Band,0.00242257977435325
8,Bop,0.0556254062525894
8,Bossa Nova,0.00257128850229564
8,Contemporary Jazz,0.0116842261355346
8,Cool Jazz,0.0879177937895846
8,Dixieland,0.000207453913575455
8,Easy Listening,0.00117912368520781
8,Experimental,0.000144626702964918
8,Free Improvisation,0.000709596474397204
8,Free Jazz,0.00196526496614057
8,Fusion,0.00484754895989756
8,Gypsy Jazz,0.0116174191602255
8,Hard Bop,0.0129379586931834
8,Jazz-Funk,0.00162916446125582
8,Jazz-Rock,0.00180876180423033
8,Latin Jazz,0.00249243246543407
8,Modal,0.00621440543050946
8,Post Bop,0.00957548585432178
8,Smooth Jazz,0.00163682658394484
8,Soul-Jazz,0.000655108720581646
8,Space-Age,0.000170769630473171
8,Swing,0.0125069054635137
8,Vocal,0.0007196040683325
9,Avant-garde Jazz,0.00133286647163235
9,Big Band,0.0607104710235323
9,Bop,0.00339738923658421
9,Bossa Nova,0.0010862619447
9,Contemporary Jazz,0.0293366812841565
9,Cool Jazz,0.00884825062408421
9,Easy Listening,0.00275928025117
9,Free Jazz,0.0033671788362
9,Fusion,0.0084998327171454
9,Hard Bop,0.00067195854283421
9,Jazz-Funk,0.00652101926355098
9,Jazz-Rock,0.00509200164083313
9,Latin Jazz,0.00134391708566842
9,Modal,0.00489049816731471
9,Post Bop,0.00163134808345
9,Smooth Jazz,0.00235554796093421
9,Soul-Jazz,0.00719297780638519
9,Swing,0.00506258687745421
10,Acid Jazz,0.000154873642560265
10,Avant-garde Jazz,0.0006312801095105
10,Avantgarde,0.000182470597397693
10,Big Band,0.0341043206535587
10,Bop,0.0192195459361235
10,Bossa Nova,0.00239223392694841
10,Contemporary Jazz,0.00886310838994857
10,Cool Jazz,0.0216173161249961
10,Easy Listening,0.00142087478236962
10,Experimental,0.000115240501033283
10,Free Improvisation,0.000772771779173169
10,Free Jazz,0.00133509265972661
10,Fusion,0.00554004645494367
10,Hard Bop,0.0146224844540317
10,Instrumental,0.000267989230032609
10,Jazz-Funk,0.00440599353111491
10,Jazz-Rock,0.00127846852763478
10,Latin Jazz,0.00297126219443218
10,Modal,0.00279458215005712
10,Post Bop,0.0116534460379969
10,Rhythm & Blues,0.00030974728512053
10,Smooth Jazz,0.000864298242486599
10,Soul-Jazz,0.0116997850539863
10,Swing,0.0156951069598559
10,Vocal,0.000154873642560265
11,Afro-Cuban Jazz,0.000198680678493421
11,Big Band,0.000527170657984667
11,Bop,0.000724039180536842
11,Bossa Nova,0.00171925472894519
11,Contemporary Jazz,0.015687026915209
11,Cool Jazz,0.000723394469343421
11,Easy Listening,0.0039407200838112
11,Free Improvisation,0.000198680678493421
11,Free Jazz,0.00154716081584067
11,Fusion,0.0386671659453698
11,Hard Bop,0.00054446303925
11,Jazz-Funk,0.0225228930173688
11,Jazz-Rock,0.0187493231809565
11,Latin Jazz,0.00418063273128293
11,Modal,0.00178812610644079
11,Neo-Classical,0.000418278050134667
11,Post Bop,0.00329298551088491
11,Smooth Jazz,0.0268676696579423
11,Soul-Jazz,0.00257521351398684
11,Swing,0.000527170657984667
12,Avant-garde Jazz,0.00094081834758005
12,Big Band,0.165405305944853
12,Bop,0.00825446851164262
12,Bossa Nova,0.000127982703477273
12,Contemporary Jazz,0.0145886394772985
12,Cool Jazz,0.00675608077530723
12,Easy Listening,0.00077311767888026
12,Free Jazz,0.000258576135962857
12,Fusion,0.00868119494814825
12,Hard Bop,0.00107261375115714
12,Jazz-Funk,0.00882290686534684
12,Jazz-Rock,0.00269447233926288
12,Latin Jazz,0.00154884608676883
12,Modal,0.000536306875578571
12,Post Bop,0.00488923692340278
12,Smooth Jazz,0.000794883011541429
12,Soul-Jazz,0.00385286218964846
12,Space-Age,0.000383948110431818
12,Swing,0.0206395865537459
12,Vocal,0.00117622039296494
13,Abstract,0.000121122632988333
13,Afrobeat,0.00120110800021935
13,Ambient,0.000185250466101667
13,Avant-garde Jazz,0.00231035580611897
13,Avantgarde,0.000822080766019524
13,Big Band,4.17221739884685e-05
13,Bop,0.000162844806976802
13,Contemporary Jazz,0.0446630159356214
13,Cool Jazz,0.000211714818401905
13,Easy Listening,0.000484490531953333
13,Experimental,0.000121122632988333
13,Free Funk,0.000400369333406452
13,Free Improvisation,0.00541762705562232
13,Free Jazz,0.0164351698940415
13,Fusion,0.000836918018489695
13,Future Jazz,0.000400369333406452
13,Hard Bop,0.000121122632988333
13,Jazz-Funk,0.00250807340963966
13,Modal,0.000105857409200952
13,Modern,2.08610869942342e-05
13,Modern Classical,0.000121122632988333
13,Noise,0.000121122632988333
13,Post Bop,0.00167239754663911
13,Soul-Jazz,0.000121122632988333
13,Space-Age,0.000121122632988333
13,Swing,0.000121122632988333
13,Vocal,0.000251298218981577
14,Afro-Cuban Jazz,0.00136150561649383
14,Big Band,0.147237177767764
14,Bop,0.0323999413714928
14,Bossa Nova,0.00202167904157269
14,Contemporary Jazz,0.0039036258078698
14,Cool Jazz,0.0186630296014439
14,Dixieland,0.000286247429934568
14,Easy Listening,0.00758672952299029
14,Free Improvisation,0.00100258668238816
14,Free Jazz,0.000380771781615714
14,Fusion,0.000286247429934568
14,Hard Bop,0.00392536609434654
14,Instrumental,0.00100258668238816
14,Jazz-Funk,0.0004081734521
14,Latin Jazz,0.000286247429934568
14,Modal,0.000339242620549153
14,Post Bop,0.00311481496751918
14,Smooth Jazz,0.0007453063463848
14,Soul-Jazz,0.00462508825048832
14,Swing,0.166206745298885
14,Theme,0.000680752808246914
14,Vocal,0.0232621395672572
15,Big Band,0.113917746124864
15,Bop,0.000393268190363889
15,Bossa Nova,0.001750471121625
15,Contemporary Jazz,0.00962929801980278
15,Cool Jazz,0.0025045196283
15,Easy Listening,0.0137767757584
15,Fusion,0.001750471121625
15,Hard Bop,0.000786536380727778
15,Post Bop,0.003539413713275
15,Smooth Jazz,0.006338242010775
15,Soul-Jazz,0.00150809701335
15,Swing,0.0123501093820667
15,Vocal,0.002262145520025
16,Afro-Cuban Jazz,0.00125998122637525
16,Ambient,5.62609151887023e-05
16,Avant-garde Jazz,0.000577487919821457
16,Avantgarde,0.000614183224238095
16,Big Band,0.00457773427538622
16,Bop,0.00785790024675402
16,Bossa Nova,5.60371889605697e-05
16,Contemporary Jazz,0.015813736738984
16,Cool Jazz,0.00292143827912812
16,Disco,0.000112521830377405
16,Dixieland,0.000343050288915738
16,Easy Listening,0.000118325951707898
16,Experimental,0.000280409671030981
16,Free Improvisation,0.00101395671150902
16,Free Jazz,0.00292352863183029
16,Funk,5.62609151887023e-05
16,Fusion,0.0198646325348096
16,Hard Bop,0.0151901191569789
16,Instrumental,0.000216482217139137
16,Jazz-Funk,0.00462781917781178
16,Jazz-Rock,0.00689877337514044
16,Latin Jazz,0.00135539680341928
16,Modal,0.00741520962626413
16,Post Bop,0.0106628938946354
16,Smooth Jazz,0.000523716344797101
16,Soul-Jazz,0.000404655056088445
16,Soundtrack,3.76974266067839e-05
16,Space-Age,5.62609151887023e-05
16,Swing,0.000372505595453819
17,Afrobeat,0.0014375067767125
17,Avant-garde Jazz,0.000904004651685714
17,Big Band,0.0482250681478332
17,Bop,0.00455720528299926
17,Contemporary Jazz,0.0268078599709005
17,Cool Jazz,0.00040398573403082
17,Easy Listening,0.001753864953498
17,Experimental,0.00233651837186
17,Free Improvisation,0.00384315005932478
17,Free Jazz,0.005211531925285
17,Fusion,0.00158361312513721
17,Gypsy Jazz,0.0020199286701541
17,Hard Bop,0.000134661911343607
17,Jazz-Funk,0.00272070582879416
17,Jazz-Rock,0.00236473371359091
17,Latin Jazz,0.00209471687353267
17,Modal,0.00234151142839821
17,Post Bop,0.00869062655487104
17,Smooth Jazz,0.00117332847437293
17,Soul-Jazz,0.00417559635298068
17,Swing,0.0102916502490148
18,Bossa Nova,0.008508138340475
18,Contemporary Jazz,0.00500479870785
18,Easy Listening,0.000500477090375
18,Fusion,0.0086749455012
18,Jazz-Funk,0.005505247994125
18,Jazz-Rock,0.004504293813375
18,Latin Jazz,0.0151812137108
18,Modal,0.00166826623595
18,Soul-Jazz,0.00100095418075
19,Afro-Cuban Jazz,0.000559512218222068
19,Avant-garde Jazz,0.00208873447404656
19,Avantgarde,0.000741271119403347
19,Big Band,0.0528363810897923
19,Bop,0.0251485753784292
19,Bossa Nova,1.34603814593253e-05
19,Cape Jazz,7.15733903215247e-05
19,Contemporary Jazz,0.0106786201298389
19,Cool Jazz,0.00862885551639982
19,Easy Listening,0.00175814047834823
19,Experimental,5.38415258373013e-05
19,Free Improvisation,0.00113878369054328
19,Free Jazz,0.00198251623945588
19,Fusion,0.00195476934616125
19,Gospel,0.000501013732250673
19,Hard Bop,0.0319341505227988
19,Instrumental,7.15733903215247e-05
19,Jazz-Funk,0.000851018066496576
19,Jazz-Rock,0.000524954876913688
19,Latin Jazz,1.34603814593253e-05
19,Modal,0.00282653331170113
19,Post Bop,0.0511818020058925
19,Religious,7.15733903215247e-05
19,Soul-Jazz,0.00224842481694572
19,Swing,0.0444343104321069
19,Vocal,0.0014873264755126
20,Avant-garde Jazz,0.000241722309256897
20,Avantgarde,0.00108814081484444
20,Big Band,0.001707140611834
20,Bop,0.001715383019936
20,Bossa Nova,0.00310850099627692
20,Contemporary Jazz,0.0515982612963818
20,Cool Jazz,0.006003840569776
20,Easy Listening,0.001599929173088
20,Free Improvisation,0.00704340967506722
20,Free Jazz,0.0171884426173525
20,Fusion,0.00146387885869509
20,Hard Bop,0.00195310283462894
20,Jazz-Funk,0.000483444618513793
20,Jazz-Rock,0.000873222801435294
20,Latin Jazz,0.00262670377583759
20,Modal,0.000751473215378793
20,Post Bop,0.00282488766344726
20,Smooth Jazz,0.00125957672342623
20,Soul-Jazz,0.000777125249069231
20,Space-Age,0.00309264690743
20,Swing,0.003253464065549
20,Vocal,0.000268028596865
21,Big Band,0.161304965849253
21,Bop,0.0261602654623771
21,Bossa Nova,0.000920704781319048
21,Contemporary Jazz,0.00409190040181177
21,Cool Jazz,0.0068665506745646
21,Dixieland,0.000113050573833028
21,Easy Listening,0.00466097376863505
21,Free Improvisation,0.000803611332966667
21,Free Jazz,0.000727482627622857
21,Fusion,0.00218244788286857
21,Hard Bop,0.000226101147666055
21,Instrumental,0.000227374646885437
21,Jazz-Funk,0.00409695394051897
21,Latin Jazz,0.00375046371194731
21,Post Bop,0.00164414453442255
21,Ragtime,0.00136424788131262
21,Smooth Jazz,0.00153109396058952
21,Soul-Jazz,0.00593291159481589
21,Swing,0.100051251490885
21,Vocal,0.0141523626067053
22,Afro-Cuban Jazz,0.000816480032834249
22,Avant-garde Jazz,0.00658174531787172
22,Big Band,0.0213103772319967
22,Bop,0.00399624150458863
22,Bossa Nova,0.00130134430596672
22,Contemporary Jazz,0.0241876068615003
22,Cool Jazz,0.00301532900460913
22,Dixieland,0.00451364520628
22,Easy Listening,0.00580903164716902
22,Free Improvisation,0.0011403032229319
22,Free Jazz,0.00306071213768844
22,Fusion,0.00741568923479759
22,Hard Bop,0.004177126095538
22,Jazz-Funk,0.00610151216906076
22,Jazz-Rock,0.00476258199166163
22,Latin Jazz,0.000692912188936321
22,Modal,0.0012568205051753
22,Post Bop,0.00496231561802714
22,Ragtime,0.00016120161451
22,Smooth Jazz,0.000858086664031184
22,Soul-Jazz,0.000190685925340263
22,Swing,0.00565899352753135
22,Vocal,0.0016275332037037
23,Big Band,0.059658553502364
23,Bop,0.00038304285803
23,Contemporary Jazz,0.0382212429089851
23,Cool Jazz,0.00076608571606
23,Jazz-Funk,0.00038304285803
23,Latin Jazz,0.00159707986578462
23,Post Bop,0.0072555578633762
23,Soul-Jazz,0.00038304285803
23,Swing,0.00191521429015
24,Ballad,0.000558985613257895
24,Big Band,0.160242460362218
24,Bop,0.00198787537949504
24,Calypso,0.000723672279156
24,Contemporary Jazz,0.00108125576261905
24,Cool Jazz,0.00254578066290035
24,Dixieland,0.0148409285986439
24,Easy Listening,0.00396121322295692
24,Free Improvisation,0.000181739012978947
24,Gospel,0.000181739012978947
24,Instrumental,0.00442721284519041
24,Ragtime,0.00978446138780764
24,Smooth Jazz,0.000181739012978947
24,Swing,0.160321287051946
24,Vocal,0.00960529564017181
25,Avant-garde Jazz,0.00288560829065594
25,Big Band,0.00669125283206101
25,Bop,0.000540605552918571
25,Bossa Nova,0.000891375653896218
25,Contemporary Jazz,0.0306042671705027
25,Easy Listening,0.00150451573069783
25,Electric Blues,0.00039073736772963
25,Free Improvisation,0.00018243544232
25,Free Jazz,0.00427715384631363
25,Fusion,0.00880825994488503
25,Gypsy Jazz,0.00039073736772963
25,Jazz-Funk,0.00181531856492349
25,Jazz-Rock,0.00421087915373003
25,Jazzdance,0.000540605552918571
25,Latin Jazz,0.000917388924742222
25,Pop Rock,0.00039073736772963
25,Post Bop,0.00114634562009926
25,Smooth Jazz,0.00260966321639228
25,Soul-Jazz,0.00108121110583714
25,Swing,0.000540605552918571
25,Vocal,0.00159561937987857
26,Avant-garde Jazz,0.000277764658109167
26,Avantgarde,0.000277764658109167
26,Big Band,0.043250996746359
26,Bop,0.0158696443101586
26,Contemporary Jazz,0.0364354660423944
26,Cool Jazz,0.0185162021811752
26,Easy Listening,0.00535937193440595
26,Experimental,0.00275102606445917
26,Free Jazz,0.00144706904679929
26,Fusion,0.00302879072256833
26,Future Jazz,0.000277764658109167
26,Hard Bop,0.0017558380864039
26,Instrumental,0.0034572631407
26,Jazz-Funk,0.000277764658109167
26,Jazz-Rock,0.000277764658109167
26,Latin Jazz,0.00402967579870595
26,Modal,0.0122675625303098
26,Post Bop,0.00802810500461048
26,Soul-Jazz,0.0022339161019125
26,Space-Age,0.000277764658109167
26,Vocal,0.0022339161019125
27,Afro-Cuban Jazz,0.00986325346551486
27,Afrobeat,0.000754182685603463
27,Avant-garde Jazz,0.000221263216065067
27,Avantgarde,5.767283165e-05
27,Big Band,0.0406290830563791
27,Bop,0.164162603039063
27,Bossa Nova,0.00308161339946195
27,Contemporary Jazz,0.00701861659118104
27,Cool Jazz,0.0163346017492614
27,Dixieland,0.000315734144618807
27,Easy Listening,0.000824252724425561
27,Experimental,0.00029501762142009
27,Free Improvisation,7.37544053550225e-05
27,Free Jazz,0.00119091506386921
27,Fusion,0.00932688407499941
27,Hard Bop,0.0275017758860496
27,Jazz-Funk,0.00457506352319382
27,Jazz-Rock,0.00287642180884588
27,Latin Jazz,0.00929430372855469
27,Modal,0.00765398171498971
27,Post Bop,0.00809911618213607
27,Soul-Jazz,0.0026359550330792
27,Swing,0.00766098083597955
27,Vocal,0.00257454284120346
28,Abstract,0.00013152276160098
28,Avant-garde Jazz,0.00719638861633255
28,Avantgarde,0.00257166690819649
28,Big Band,0.00189458743376464
28,Bop,0.00171984280098428
28,Contemporary Jazz,0.0218363520449882
28,Experimental,0.000323089563524446
28,Free Improvisation,0.0159622178846981
28,Free Jazz,0.0614025917193877
28,Fusion,0.00102992262988183
28,Hard Bop,0.00214457966783744
28,Jazz-Funk,0.000374939844143687
28,Jazz-Rock,0.00193389272274883
28,Leftfield,0.000607030335453115
28,Modal,0.00244231681833374
28,Modern,2.67284229628378e-05
28,Poetry,0.00013152276160098
28,Post Bop,0.00525144114558841
28,Psychedelic Rock,0.00107885634504545
28,Soul-Jazz,0.00177910670906121
28,Space-Age,0.00456334706450888
28,Swing,0.000623309765136872
28,Vocal,0.000159897458809375
29,Acid Jazz,9.95080428675497e-05
29,Afro-Cuban Jazz,0.00363693158457865
29,Avant-garde Jazz,0.00193605091125002
29,Avantgarde,0.000313493273349785
29,Big Band,0.0033618890552835
29,Bop,0.0331967149890399
29,Bossa Nova,6.72551173263868e-05
29,Contemporary Jazz,0.00954559634529449
29,Cool Jazz,0.00725133232381886
29,Easy Listening,0.000166763160193936
29,Experimental,0.000269020469305547
29,Free Improvisation,0.00260745326442531
29,Free Jazz,0.0106129283612151
29,Fusion,0.00949431349875023
29,Hard Bop,0.108268313827407
29,Jazz-Funk,0.00651940302948122
29,Jazz-Rock,0.00272245761859664
29,Latin Jazz,0.000329561475988508
29,Modal,0.0148901921509999
29,Post Bop,0.0293171650095196
29,Rhythm & Blues,0.000199016085735099
29,Smooth Jazz,0.000352498314511667
29,Soul-Jazz,0.00758469187834449
29,Soundtrack,0.000237460048519598
29,Swing,0.00113633778040965
29,Vocal,0.0004489866567873
